subject,target,resolution,method,best_ch,mean_r,mean_nmse
dmnelf008,DMN,hz4,TA,Pz,-0.0880203092083722,1.0069198265853765
dmnelf008,CEN,hz4,EFP,Fp2,0.4171460547074634,0.8519337764511389
dmnelf008,CEN,hz4,HRF,P8,-0.0634057250062855,1.0948869093451512
dmnelf008,CEN,hz4,TA,POz,-0.0774918291995492,1.0242611037171672
dmnelf008,PDA,hz4,EFP,F7,0.3378681525985882,0.9252479194123548
dmnelf008,PDA,hz4,HRF,TP10,0.1919007404954197,0.9903124139662148
dmnelf008,PDA,hz4,TA,Pz,-0.0357318551001955,1.0148174050571022
dmnelf008,GSR_DMN,hz4,EFP,P4,0.0542998290655704,1.1412427741146738
dmnelf008,GSR_DMN,hz4,HRF,O2,0.1970451382798526,1.0016691512339624
dmnelf008,GSR_DMN,hz4,TA,P4,-0.0142062425840514,1.014432679308644
dmnelf008,GSR_CEN,hz4,EFP,Fp2,0.3823886131091534,0.8878149806385423
dmnelf008,GSR_CEN,hz4,HRF,P8,0.07229670862856,1.0532544411239473
dmnelf008,GSR_CEN,hz4,TA,O1,-0.0772533041478802,1.0202719353987368
dmnelf008,GSR_PDA,hz4,EFP,CP5,0.2640860609969554,0.9585544894428428
dmnelf008,GSR_PDA,hz4,HRF,P8,0.2122665792961867,0.9759987405700395
dmnelf008,GSR_PDA,hz4,TA,Pz,-0.0175030627635839,1.0165846221965107
dmnelf008,VIS,hz4,EFP,F4,0.1476176633023582,1.005756911257373
