subject,target,resolution,method,best_ch,mean_r,mean_nmse
dmnelf008,PDA,hz4,TA,Pz,0.0833940500509811,1.035894327805361
dmnelf008,GSR_DMN,hz4,EFP,Fp1,0.1816194514985218,1.1019858730568917
dmnelf008,GSR_DMN,hz4,HRF,Fp1,0.2100305617497576,1.017806672087423
dmnelf008,GSR_DMN,hz4,TA,Pz,0.0993040929903237,1.039550206895857
dmnelf008,GSR_CEN,hz4,EFP,Fp2,0.5195924039238535,1.0168266561687909
dmnelf008,GSR_CEN,hz4,HRF,Fp2,0.1673687394032949,1.0719372040728885
dmnelf008,GSR_CEN,hz4,TA,O1,0.0779502516488234,1.0607484452830749
dmnelf008,GSR_PDA,hz4,EFP,F7,0.4260116606093042,0.9426466548672838
dmnelf008,GSR_PDA,hz4,HRF,F7,0.2091444858558839,1.0141422567460825
dmnelf008,GSR_PDA,hz4,TA,Pz,0.1001892773542131,1.0459209206661984
dmnelf008,VIS,hz4,EFP,P3,0.2281743972761352,0.9953459413565078
dmnelf008,VIS,hz4,HRF,P3,0.1321768099772147,1.0273543192721477
dmnelf008,VIS,hz4,TA,P3,0.1242030324516464,1.015054190180559
dmnelf009,DMN,tr,EFP,F7,0.4384036174103176,0.9540447239864754
dmnelf009,DMN,tr,HRF,F7,0.1169805841221225,1.0866766388595228
dmnelf009,DMN,tr,TA,Pz,0.2732349377295978,0.9586037978661934
dmnelf009,CEN,tr,EFP,CP1,0.3531937788013699,0.9726571557811472
dmnelf009,CEN,tr,HRF,CP1,0.2887656130441016,0.9775358964192794
dmnelf009,CEN,tr,TA,Pz,0.1566844543666815,1.0117822333086082
dmnelf009,PDA,tr,EFP,CP1,0.3507363536296686,1.0325141560577236
dmnelf009,PDA,tr,HRF,CP1,0.2519169010916476,1.1209602350001062
dmnelf009,PDA,tr,TA,O2,0.2324879771122782,1.0155312742952078
dmnelf009,GSR_DMN,tr,EFP,F3,0.1950511205419663,1.0222571802942952
dmnelf009,GSR_DMN,tr,HRF,F3,0.0838621917813632,1.0543626360616103
dmnelf009,GSR_DMN,tr,TA,O2,-0.1179331278143476,1.0257876447836325
dmnelf009,GSR_CEN,tr,EFP,CP2,0.2163978062103277,1.1220911522944517
dmnelf009,GSR_CEN,tr,HRF,CP2,0.2126357636772231,1.1448116000595712
dmnelf009,GSR_CEN,tr,TA,POz,0.3949253155384736,0.9448291160960468
dmnelf009,GSR_PDA,tr,EFP,CP1,0.4066420950288708,0.986713468104283
dmnelf009,GSR_PDA,tr,HRF,CP1,0.2869501715264785,1.0998669587880874
dmnelf009,GSR_PDA,tr,TA,O2,0.2041452553772265,1.0163750479422666
dmnelf009,VIS,tr,EFP,CP1,0.4195367067186339,0.8453996779152775
dmnelf009,VIS,tr,HRF,CP1,0.1446246835536419,1.000435574511371
dmnelf009,VIS,tr,TA,POz,0.236161429192108,0.9601379117024956
dmnelf009,DMN,hz4,EFP,F7,0.4181043757563696,0.9817792028575903
dmnelf009,DMN,hz4,HRF,F7,0.1292710149571729,1.0173217383860282
dmnelf009,DMN,hz4,TA,P3,0.1577985734157724,0.9993256591574292
dmnelf009,CEN,hz4,EFP,CP1,0.3169486629593748,1.0140774040516316
dmnelf009,CEN,hz4,HRF,CP1,0.2067729692457284,0.9865520959675008
dmnelf009,CEN,hz4,TA,P4,0.1682816139984151,0.9852121822140176
dmnelf009,PDA,hz4,EFP,CP1,0.329189530725824,1.067033898187378
dmnelf009,PDA,hz4,HRF,CP1,0.1320142404508825,1.1006807968227412
dmnelf009,PDA,hz4,TA,O1,-0.0496402558501398,1.0556028803799868
