subject,run,condition,microstate,duration_ms,occurrence_hz,coverage_pct,gev_pct
sub-rtbpd040,01,pre,C,26.283,12.0932,31.785,26.337
sub-rtbpd040,01,pre,B,23.455,11.2504,26.387,19.778
sub-rtbpd040,01,pre,A,21.816,9.9811,21.774,13.689
sub-rtbpd040,02,pre,D,20.334,9.438,19.191,9.978
sub-rtbpd040,02,pre,C,27.653,13.046,36.076,32.804
sub-rtbpd040,02,pre,B,23.594,11.5802,27.323,22.595
sub-rtbpd040,02,pre,A,19.058,9.1349,17.41,9.673
sub-rtbpd040,03,post,D,22.243,9.4647,21.052,11.998
sub-rtbpd040,03,post,C,26.243,11.9233,31.29,28.158
sub-rtbpd040,03,post,B,23.882,11.247,26.86,20.262
sub-rtbpd040,03,post,A,21.242,9.7912,20.798,11.405
sub-rtbpd040,04,post,D,23.294,9.4647,22.047,14.97
sub-rtbpd040,04,post,C,27.33,11.93,32.604,28.032
sub-rtbpd040,04,post,B,24.116,11.1038,26.778,19.533
sub-rtbpd040,04,post,A,20.117,9.2315,18.571,10.957
