subject,run,condition,microstate,duration_ms,occurrence_hz,coverage_pct,gev_pct
sub-rtbpd018,03,post,VIS,21.098,5.8301,12.3,6.472
sub-rtbpd018,03,post,SAL,29.114,8.4453,24.588,22.605
sub-rtbpd018,04,post,CEN,20.491,7.9022,16.192,14.491
sub-rtbpd018,04,post,DANT,20.089,5.7001,11.451,4.563
sub-rtbpd018,04,post,AUD,17.297,5.9833,10.35,7.004
sub-rtbpd018,04,post,DMN,18.818,4.9372,9.291,3.045
sub-rtbpd018,04,post,SOM,18.459,5.5869,10.313,4.331
sub-rtbpd018,04,post,VIS,22.158,6.3864,14.151,9.372
sub-rtbpd018,04,post,SAL,30.02,9.4114,28.253,34.874
sub-rtbpd020,01,pre,CEN,17.489,4.724,8.262,2.523
sub-rtbpd020,01,pre,DANT,32.949,9.5813,31.569,22.23
sub-rtbpd020,01,pre,AUD,15.404,3.7912,5.84,3.118
sub-rtbpd020,01,pre,DMN,19.684,5.9633,11.738,1.894
sub-rtbpd020,01,pre,SOM,19.299,5.5436,10.699,3.561
sub-rtbpd020,01,pre,VIS,17.685,5.1638,9.132,2.723
sub-rtbpd020,01,pre,SAL,28.184,8.0755,22.76,13.911
sub-rtbpd020,02,pre,CEN,16.048,3.3548,5.384,1.562
sub-rtbpd020,02,pre,DANT,30.171,9.1815,27.702,12.016
sub-rtbpd020,02,pre,AUD,12.674,2.322,2.943,0.701
sub-rtbpd020,02,pre,DMN,21.764,6.5963,14.356,3.234
sub-rtbpd020,02,pre,SOM,24.333,7.8323,19.059,6.802
sub-rtbpd020,02,pre,VIS,16.689,3.9911,6.661,2.043
sub-rtbpd020,02,pre,SAL,28.129,8.4952,23.896,14.249
sub-rtbpd020,03,post,CEN,26.251,7.9655,20.91,17.309
sub-rtbpd020,03,post,DANT,24.183,6.5663,15.879,6.736
sub-rtbpd020,03,post,AUD,19.129,6.4397,12.318,7.52
sub-rtbpd020,03,post,DMN,23.115,6.03,13.938,5.125
sub-rtbpd020,03,post,SOM,19.692,5.1738,10.188,3.419
sub-rtbpd020,03,post,VIS,18.695,5.2837,9.878,4.176
sub-rtbpd020,03,post,SAL,23.35,7.2326,16.888,11.4
sub-rtbpd020,04,post,CEN,15.986,6.03,9.639,4.213
sub-rtbpd020,04,post,DANT,27.049,9.6779,26.177,16.096
sub-rtbpd020,04,post,AUD,13.793,3.9678,5.473,3.434
sub-rtbpd020,04,post,DMN,19.775,7.3459,14.527,4.766
sub-rtbpd020,04,post,SOM,20.921,7.6824,16.072,6.746
sub-rtbpd020,04,post,VIS,15.057,4.9272,7.419,2.75
sub-rtbpd020,04,post,SAL,23.743,8.7151,20.692,12.921
sub-rtbpd021,01,pre,CEN,24.993,7.6657,19.159,21.271
sub-rtbpd021,01,pre,DANT,15.941,2.8151,4.487,0.785
sub-rtbpd021,01,pre,AUD,24.284,8.372,20.331,16.091
sub-rtbpd021,01,pre,DMN,18.436,3.9778,7.333,2.166
sub-rtbpd021,01,pre,SOM,24.133,6.2032,14.97,8.063
sub-rtbpd021,01,pre,VIS,22.905,6.1466,14.079,9.602
sub-rtbpd021,01,pre,SAL,26.629,7.3759,19.641,16.465
sub-rtbpd021,02,pre,CEN,13.912,3.8478,5.353,1.525
sub-rtbpd021,02,pre,DANT,17.606,5.0239,8.845,2.316
sub-rtbpd021,02,pre,AUD,16.599,5.2571,8.726,3.056
sub-rtbpd021,02,pre,DMN,16.365,4.3942,7.191,1.724
sub-rtbpd021,02,pre,SOM,28.353,9.0216,25.579,19.985
sub-rtbpd021,02,pre,VIS,25.354,8.6318,21.885,18.564
sub-rtbpd021,02,pre,SAL,26.412,8.4886,22.42,22.827
sub-rtbpd021,03,post,CEN,26.508,8.8584,23.482,32.831
sub-rtbpd021,03,post,DANT,17.288,4.8473,8.38,2.23
sub-rtbpd021,03,post,AUD,32.77,10.0444,32.916,23.059
sub-rtbpd021,03,post,DMN,18.173,4.9272,8.954,6.041
sub-rtbpd021,03,post,SOM,18.787,5.2637,9.889,2.87
sub-rtbpd021,03,post,VIS,17.242,4.9572,8.547,1.083
sub-rtbpd021,03,post,SAL,16.914,4.6307,7.832,1.956
sub-rtbpd021,04,post,CEN,30.089,8.422,25.34,72.28
sub-rtbpd021,04,post,DANT,16.609,3.0283,5.03,0.332
sub-rtbpd021,04,post,AUD,22.465,7.669,17.228,3.846
sub-rtbpd021,04,post,DMN,13.682,2.2221,3.04,0.145
sub-rtbpd021,04,post,SOM,17.635,3.9078,6.891,0.57
sub-rtbpd021,04,post,VIS,25.45,7.0461,17.932,2.994
sub-rtbpd021,04,post,SAL,28.929,8.4819,24.538,3.63
sub-rtbpd024,01,pre,CEN,16.992,7.5524,12.833,10.924
sub-rtbpd024,01,pre,DANT,17.305,6.8295,11.819,3.971
sub-rtbpd024,01,pre,AUD,14.372,6.9361,9.968,4.799
sub-rtbpd024,01,pre,DMN,14.348,4.694,6.735,1.72
sub-rtbpd024,01,pre,SOM,22.963,10.4242,23.937,15.681
sub-rtbpd024,01,pre,VIS,16.987,6.3631,10.809,5.458
sub-rtbpd024,01,pre,SAL,22.964,10.4075,23.899,22.48
sub-rtbpd024,02,pre,CEN,22.415,8.925,20.005,23.651
sub-rtbpd024,02,pre,DANT,16.091,6.0133,9.676,2.958
sub-rtbpd024,02,pre,AUD,21.895,10.2609,22.467,20.207
sub-rtbpd024,02,pre,DMN,14.754,4.3942,6.483,1.423
sub-rtbpd024,02,pre,SOM,20.487,8.5485,17.514,9.511
sub-rtbpd024,02,pre,VIS,17.0,6.2298,10.591,4.743
sub-rtbpd024,02,pre,SAL,18.306,7.2459,13.265,6.636
sub-rtbpd024,03,post,CEN,21.496,10.3975,22.351,29.348
sub-rtbpd024,03,post,DANT,14.775,5.0372,7.442,1.785
sub-rtbpd024,03,post,AUD,17.741,9.3981,16.673,11.547
sub-rtbpd024,03,post,DMN,13.595,4.1144,5.594,0.933
sub-rtbpd024,03,post,SOM,19.57,9.5746,18.738,10.797
sub-rtbpd024,03,post,VIS,16.038,5.6502,9.062,3.542
sub-rtbpd024,03,post,SAL,19.854,10.1443,20.141,17.422
sub-rtbpd024,04,post,CEN,25.184,10.2742,25.875,38.957
sub-rtbpd024,04,post,DANT,15.17,4.9939,7.576,1.634
sub-rtbpd024,04,post,AUD,18.068,9.5313,17.221,11.871
sub-rtbpd024,04,post,DMN,14.27,4.0178,5.733,0.924
sub-rtbpd024,04,post,SOM,19.456,8.6085,16.749,7.851
sub-rtbpd024,04,post,VIS,15.361,5.317,8.167,2.512
sub-rtbpd024,04,post,SAL,20.314,9.1949,18.679,11.869
sub-rtbpd030,01,pre,CEN,40.554,12.0166,48.733,64.46
sub-rtbpd030,01,pre,DANT,12.925,3.4414,4.448,0.575
sub-rtbpd030,01,pre,AUD,22.359,10.8639,24.29,17.99
sub-rtbpd030,01,pre,DMN,13.333,4.4675,5.957,1.009
sub-rtbpd030,01,pre,SOM,11.546,2.9384,3.393,0.436
sub-rtbpd030,01,pre,VIS,13.164,4.4708,5.885,1.134
sub-rtbpd030,01,pre,SAL,14.538,5.0172,7.294,1.93
sub-rtbpd030,02,pre,CEN,28.583,12.3164,35.204,41.586
sub-rtbpd030,02,pre,DANT,13.002,3.7979,4.938,0.823
sub-rtbpd030,02,pre,AUD,22.909,11.4536,26.239,27.11
sub-rtbpd030,02,pre,DMN,16.196,6.6463,10.765,3.135
sub-rtbpd030,02,pre,SOM,13.143,4.6274,6.082,1.388
sub-rtbpd030,02,pre,VIS,13.863,5.4303,7.528,2.065
sub-rtbpd030,02,pre,SAL,15.015,6.1566,9.244,3.295
sub-rtbpd030,03,post,CEN,37.731,12.3631,46.647,61.327
sub-rtbpd030,03,post,DANT,13.19,3.0783,4.06,0.666
sub-rtbpd030,03,post,AUD,21.116,11.0471,23.328,17.087
sub-rtbpd030,03,post,DMN,14.028,4.3276,6.071,1.195
sub-rtbpd030,03,post,SOM,12.256,3.3548,4.112,0.678
sub-rtbpd030,03,post,VIS,14.241,5.0105,7.135,1.803
sub-rtbpd030,03,post,SAL,14.469,5.9767,8.648,2.367
sub-rtbpd030,04,post,CEN,36.52,12.1532,44.383,60.812
sub-rtbpd030,04,post,DANT,13.469,3.2982,4.442,0.773
sub-rtbpd030,04,post,AUD,21.193,10.8139,22.918,16.43
sub-rtbpd030,04,post,DMN,14.015,4.0877,5.729,0.932
sub-rtbpd030,04,post,SOM,12.929,3.578,4.626,0.908
